Year,race,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Crawford,Cumberland,Dekalb,Dewitt,Douglas,Dupage,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,Lasalle,Lawrence,Lee,Livingston,Logan,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Mcdonough,Mchenry,Mclean,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Non county agencies,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock island,Saline,Sangamon,Schuyler,Scott,Shelby,St. clair,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford,Cook
2011,Asian,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,20,0,0,245,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,132,6,0,0,131,6,0,0,6,6,6,0,31,0,0,0,0,6,25,37,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,27,0,0,0,21,0,0,6,0,0,0,13,0,0,0,0,45,0,43,6,1402
2011,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2011,Native American,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,102
2011,White,810,68,153,722,72,471,97,296,113,2031,541,333,247,507,1137,432,169,2094,322,229,12307,363,48,1353,547,298,1077,694,6,312,1003,30,185,104,154,645,538,820,127,454,760,369,138,8796,1605,1512,980,9247,3050,521,796,1158,696,1721,415,6586,1050,173,299,488,889,5870,2449,206,312,474,873,1354,161,44,751,3208,782,254,325,24,279,98,674,258,3056,547,4347,78,17,504,2628,68,749,3567,280,1449,292,539,222,344,608,1147,5405,1315,4759,638,69527
2012,Black,210,109,13,35,0,40,0,15,25,2138,23,6,0,38,203,13,11,928,22,14,3016,17,0,208,46,10,49,37,0,11,130,0,0,0,18,105,127,784,0,179,26,25,6,2860,1264,216,394,3493,315,21,81,186,148,1422,27,2656,179,11,6,88,297,298,1437,11,11,31,81,369,6,66,75,3775,102,32,30,6,178,0,88,6,1319,91,3394,11,0,6,3800,0,537,561,17,934,11,50,18,6,32,143,2820,272,2884,126,81953
2012,Asian,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,22,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,106,6,0,0,150,11,0,0,10,0,6,0,29,0,0,0,0,6,24,35,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,18,0,36,0,0,0,33,0,0,13,0,0,0,11,0,0,0,6,138,0,53,0,1473
2012,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,Native American,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,105
2012,White,783,59,136,678,77,420,91,251,205,2057,556,284,250,388,1099,297,207,1947,343,298,11205,381,53,1230,649,294,1307,805,31,303,1012,51,151,129,153,585,551,781,122,526,670,332,134,8831,1615,1257,1012,8727,2782,474,691,974,792,1689,482,6551,862,190,342,467,845,5312,2536,182,330,484,758,1240,165,88,865,2946,568,257,338,31,252,94,607,260,2916,621,4294,126,40,446,2940,69,646,3643,240,1525,256,473,241,324,525,1028,5202,1356,4852,618,66684
2013,Black,202,90,17,79,6,29,0,18,18,2076,26,19,0,44,227,10,6,1205,31,11,2831,13,0,197,26,11,21,32,0,11,126,0,0,0,6,71,163,755,0,244,12,30,15,2716,1188,210,392,3472,323,20,69,173,167,1455,26,2830,219,6,6,66,340,276,1457,17,14,29,63,361,10,22,85,3337,79,36,19,0,146,0,70,6,1268,63,3742,6,0,6,3974,0,539,524,18,923,14,63,24,0,17,116,2606,335,2689,122,82746
2013,Asian,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,28,0,0,191,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,121,0,6,0,98,6,0,0,11,6,6,0,24,0,0,0,0,6,29,26,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,21,0,24,0,0,0,26,0,0,6,0,0,0,6,0,0,0,0,238,0,32,0,1381
2013,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2013,Native American,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,91
2013,White,723,55,137,671,69,403,88,292,165,2040,546,295,261,378,1035,362,225,1877,366,282,10179,390,74,1127,608,239,1226,659,69,279,906,77,214,95,126,406,490,756,180,691,595,321,158,8650,1418,1126,1015,8065,2430,336,682,831,856,1615,430,6723,945,132,327,387,936,4918,2599,217,267,474,660,1135,165,60,899,2822,593,195,270,73,180,58,500,321,2646,528,4244,114,42,416,2891,71,473,3630,350,1495,285,412,303,259,504,945,4890,1415,4359,529,64489
2014,Black,171,86,23,98,6,39,0,15,21,2042,34,6,0,67,225,14,0,1074,18,13,2678,12,0,154,49,18,22,32,0,6,172,0,14,0,15,85,122,681,6,214,16,52,18,2599,1011,238,372,3418,299,6,61,189,139,1362,31,2700,203,6,0,68,353,317,1559,11,12,38,78,383,15,6,63,4031,96,19,6,0,76,0,71,6,1068,61,3494,6,0,6,3224,0,533,480,24,832,6,46,25,6,17,145,2961,359,2604,52,78027
2014,Asian,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,22,0,0,199,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,126,0,6,0,111,6,0,0,0,6,6,0,38,0,0,0,0,6,27,34,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,17,0,34,0,0,0,21,0,0,10,0,0,0,0,0,0,0,6,203,6,39,0,1298
2014,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,68,0,2201
2014,Native American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,87
2014,White,784,36,135,877,69,354,79,277,172,1952,608,311,258,423,1041,465,188,1918,296,230,9140,432,47,1200,554,257,1349,596,44,251,907,94,237,80,103,475,370,808,160,614,579,275,124,7890,1347,1188,858,7947,2355,263,616,849,678,1562,425,6131,922,183,300,316,874,4646,2633,202,298,433,617,1077,140,11,796,2960,527,216,225,55,103,66,532,348,2052,438,4234,117,25,432,2657,68,389,3274,369,1450,312,343,200,315,435,1172,4666,1596,3803,473,58651
2015,Black,190,124,24,123,0,35,0,22,11,1973,28,6,6,48,266,22,6,904,14,27,2957,6,0,138,34,24,34,30,0,0,197,0,6,0,12,82,136,727,6,268,31,46,13,2525,1024,265,398,3301,440,10,80,272,142,1243,51,2780,203,13,6,48,325,320,1515,6,6,62,75,319,10,6,81,3818,86,20,15,6,203,0,60,6,1111,51,3287,6,0,11,2753,6,585,577,38,935,6,51,40,6,15,147,2732,285,2456,80,73481
2015,Asian,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,32,0,0,275,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,107,0,0,0,113,20,0,0,6,0,0,0,43,0,0,0,0,0,21,39,0,0,0,0,0,0,0,0,37,0,0,0,0,6,0,0,0,18,0,38,0,0,0,21,0,0,13,0,0,0,0,0,0,0,0,200,0,39,0,1227
2015,Hispanic,6,0,0,125,0,0,0,6,6,235,0,0,0,0,0,6,0,280,15,28,2118,0,0,22,0,24,0,0,0,0,79,0,0,0,11,12,21,43,0,16,6,6,0,2616,170,51,42,1453,102,0,32,61,0,21,0,35,0,0,0,0,43,619,245,0,0,0,0,18,0,0,110,0,13,0,0,0,16,0,6,0,99,0,11,0,0,0,65,0,0,15,0,0,0,0,0,0,0,35,840,34,607,13,29610
2015,Native American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,94
2015,White,743,60,229,876,35,411,61,231,136,1651,649,302,234,447,967,471,216,1480,277,310,6878,485,45,1169,428,229,1408,570,41,369,937,89,294,130,124,464,470,725,205,776,610,256,166,4704,1105,990,912,5796,2391,396,521,799,737,1580,675,6804,1149,168,394,254,802,3888,2456,172,256,440,700,1084,133,16,817,3219,610,263,272,58,164,67,491,356,2090,485,4256,48,42,443,2252,52,488,3380,312,1622,357,246,231,314,483,1179,3789,1413,3554,469,27022
2016,Black,200,87,29,217,0,32,0,23,6,1960,22,18,11,53,246,12,6,975,32,34,3015,13,0,168,76,10,33,17,0,13,156,0,14,0,0,100,134,704,6,275,30,45,6,2626,959,222,396,3079,435,15,60,246,108,1372,39,2897,231,6,21,64,318,380,1609,6,24,46,72,305,13,11,80,3918,107,14,15,0,223,0,63,11,1012,69,3173,0,0,6,2344,0,657,619,32,1051,10,71,26,6,18,154,2574,248,2404,86,65991
2016,Asian,0,0,0,6,0,0,0,0,0,55,0,0,0,0,0,0,0,6,0,0,247,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,124,0,6,0,116,10,0,0,6,0,0,0,37,0,0,0,0,6,30,37,0,0,0,0,0,0,0,0,44,0,0,0,0,6,0,0,0,23,0,38,0,0,0,16,0,0,6,0,0,0,6,0,0,0,0,89,6,43,0,1115
2016,Hispanic,0,0,0,143,0,0,0,6,6,185,0,0,0,33,11,6,0,366,6,20,2098,0,0,17,22,12,0,0,0,0,80,0,0,0,0,6,22,30,0,24,6,19,0,3251,147,36,51,1540,87,0,29,61,6,34,0,41,6,6,0,0,35,720,253,0,0,0,0,13,0,0,80,0,6,0,0,0,35,0,14,0,210,0,6,0,0,0,74,0,6,87,6,0,0,44,0,0,0,74,729,29,565,21,24861
2016,Native American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,57
2016,White,780,58,215,990,17,327,50,212,60,1443,544,385,188,427,944,459,172,1216,348,306,6150,503,58,1169,807,205,1227,514,38,381,824,75,336,92,91,477,420,734,169,704,617,273,135,3932,1135,976,881,5046,2235,349,442,694,635,1509,738,7389,1136,164,352,334,697,3770,2259,190,352,429,742,976,104,14,747,2879,549,199,291,60,138,63,483,330,1777,555,3996,12,30,357,1829,48,602,3153,341,1649,337,326,306,309,522,956,3985,1486,3314,381,23874
2017,Black,218,67,34,279,0,47,0,16,11,1980,27,11,6,36,224,18,6,976,67,26,3246,6,0,130,61,16,29,23,0,6,128,0,12,0,6,81,120,668,0,261,38,69,10,2567,989,192,343,3061,466,23,63,177,171,1299,44,3039,298,6,26,46,275,356,1407,10,15,73,60,297,10,24,97,3599,87,10,6,0,108,6,59,13,1001,74,3169,0,0,12,2141,0,524,532,28,951,17,84,36,6,20,120,2314,373,2355,98,65143
2017,Asian,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,6,0,0,273,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,93,0,6,0,89,10,0,0,6,0,6,0,22,0,0,0,0,0,25,29,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,20,0,27,0,0,0,24,0,0,6,0,0,0,0,0,0,0,0,47,6,31,0,1058
2017,Hispanic,0,0,0,132,0,13,0,10,11,191,0,0,0,15,16,6,6,297,16,16,2072,0,0,6,13,14,0,0,0,6,50,0,0,0,0,0,16,26,0,23,6,17,0,2459,153,32,42,1343,113,0,16,59,12,38,0,60,0,6,0,0,15,575,184,0,0,0,0,26,0,0,76,0,6,0,6,0,13,0,6,0,189,0,0,6,0,0,66,0,0,56,0,0,0,33,0,0,6,71,501,31,554,15,20637
2017,Native American,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,25,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,63
2017,White,857,41,226,985,16,372,42,219,82,1503,560,387,246,330,916,405,209,1252,311,339,5335,405,57,1115,514,185,1333,477,33,354,723,68,350,95,87,493,377,682,207,831,713,313,115,3814,1092,668,908,4422,2146,312,397,716,580,1321,665,7075,1226,160,329,328,662,3204,1980,171,302,365,653,926,95,19,665,2445,454,141,346,52,124,51,483,381,1652,598,3883,35,38,303,1912,51,519,2975,355,1577,397,313,233,204,414,732,3664,1639,2723,405,20243
2018,Black,219,72,29,392,0,40,0,18,11,1985,31,12,6,39,208,14,6,1105,57,46,2993,6,0,126,11,22,34,38,0,6,126,0,14,0,12,108,119,551,10,231,26,68,6,2438,1236,170,364,2674,433,17,64,208,104,1316,34,3160,209,0,35,88,244,377,1370,6,15,56,57,289,0,35,113,3132,71,13,15,0,53,6,66,15,964,80,3429,0,0,6,2593,0,635,480,26,876,13,46,32,12,20,76,2230,378,2229,114,64665
2018,Asian,0,0,0,10,0,0,0,0,0,43,0,0,0,0,0,0,0,6,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,6,0,0,76,6,0,0,0,0,11,0,46,0,0,0,6,0,27,24,0,0,0,0,6,0,0,0,26,6,0,0,0,0,0,0,0,11,0,28,0,0,0,16,0,0,6,0,0,0,6,0,0,0,0,45,0,25,0,1020
2018,Hispanic,0,0,6,60,0,35,0,0,15,170,0,0,0,13,15,0,0,264,12,21,1980,0,0,0,0,6,0,0,0,6,56,0,0,0,0,0,10,32,0,29,0,21,0,2209,36,35,52,1639,100,0,12,54,13,20,0,56,6,0,10,0,21,622,191,0,0,0,0,23,0,0,39,0,6,0,0,0,11,0,12,0,171,0,6,0,0,0,67,0,6,22,6,0,0,23,0,0,0,63,448,33,517,14,20024
2018,Native American,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,66
2018,White,861,38,233,1032,11,426,53,227,73,1390,617,349,219,272,1061,359,169,1113,275,324,4860,297,63,1102,185,147,1308,576,40,368,732,66,296,88,75,383,435,654,232,702,546,342,112,3586,1084,622,994,3707,2058,374,415,635,513,1246,624,7369,1154,135,359,380,502,3094,1986,155,284,434,614,972,6,25,703,2240,496,155,308,63,59,51,529,395,1644,701,4062,11,31,266,2332,49,637,3049,339,1537,303,244,204,200,378,695,3297,1752,2446,411,19525
2019,Black,201,65,35,243,0,38,0,20,6,2063,43,19,6,39,211,0,6,935,50,43,2865,0,6,108,11,14,42,25,0,11,176,0,16,0,0,75,116,551,17,283,38,61,20,2449,1278,200,392,2574,387,11,67,243,138,1342,35,3288,249,6,25,74,228,341,1452,6,6,70,63,316,0,6,90,3158,70,6,28,0,100,0,82,14,890,70,3321,0,0,11,2627,6,614,539,35,872,6,34,26,6,20,106,2262,286,2775,179,65979
2019,Asian,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,6,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,92,0,6,0,118,10,0,0,0,0,6,0,24,0,0,0,6,0,27,23,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,12,0,31,0,0,0,18,0,6,0,0,0,0,0,0,0,0,0,42,6,45,0,1065
2019,Hispanic,0,0,0,25,0,26,0,6,11,125,0,6,0,11,33,0,6,221,13,28,1899,0,0,6,0,11,6,0,0,6,77,0,0,0,0,0,6,31,0,18,0,16,0,2156,15,41,55,1761,127,0,23,68,6,0,0,47,13,0,0,0,12,623,187,0,0,0,6,16,0,0,6,0,6,0,6,0,14,0,15,6,210,0,0,0,0,0,66,0,6,6,6,0,0,6,6,0,0,76,384,41,617,0,20195
2019,Native American,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,54
2019,White,799,57,158,859,20,418,63,210,112,1412,550,310,229,258,924,159,161,1028,250,342,4599,191,52,1078,240,149,1057,588,40,279,778,77,298,73,57,327,351,636,224,822,603,385,113,3606,1131,579,1048,3651,1905,352,414,633,637,1258,576,7803,1215,150,249,294,594,2801,1828,136,194,475,585,909,35,12,723,2239,338,123,343,46,95,38,546,365,1699,734,3827,73,32,326,2330,112,595,2954,319,1424,268,205,156,199,344,639,3058,1551,2638,490,17971
2020,Black,92,43,24,160,0,28,0,17,0,1463,24,12,0,28,197,6,0,984,30,63,2330,0,0,27,0,6,44,21,0,10,166,0,0,0,6,17,100,311,0,146,28,27,11,1829,877,159,266,1839,352,6,55,201,53,1032,32,1855,265,0,0,54,123,251,1303,12,6,36,53,203,10,12,61,2148,51,14,23,0,102,0,54,17,654,20,2310,0,0,6,1938,6,537,315,6,782,0,30,24,6,12,65,2051,143,1657,145,42922
2020,Asian,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,6,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,54,0,0,0,6,0,0,0,10,0,0,0,6,0,25,17,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,6,0,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,24,0,28,0,677
2020,Hispanic,0,0,0,17,0,16,0,6,6,77,0,0,0,6,20,0,0,177,6,16,1629,0,0,0,0,0,10,0,0,6,60,0,0,0,0,0,11,18,0,28,0,6,0,801,6,24,43,1253,97,0,10,47,6,0,0,49,0,0,0,0,6,446,161,0,0,6,0,15,0,0,11,0,6,0,6,0,15,0,11,6,122,0,0,6,0,0,58,0,6,0,0,0,0,15,6,0,0,41,331,24,356,0,14117
2020,Native American,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,41
2020,White,290,57,136,608,17,243,32,228,50,1003,392,257,211,182,897,332,82,794,150,282,3298,76,39,507,14,76,698,462,11,277,618,71,216,66,53,43,312,280,177,535,479,179,75,3508,820,497,751,2190,1477,198,366,469,292,893,456,4469,1064,105,32,202,392,1779,1502,97,117,308,572,739,82,11,470,1243,214,125,260,11,65,44,441,280,1049,168,2522,74,25,130,1702,73,477,2183,167,1191,135,143,177,210,216,559,2402,831,1594,356,11991
2021,Black,148,40,13,136,0,19,0,17,0,1283,10,6,0,25,204,0,6,885,25,43,2507,0,0,34,0,10,25,29,0,12,110,0,15,0,0,6,96,290,0,167,35,90,6,1639,808,170,285,1643,478,19,60,262,67,997,44,1800,178,6,6,35,146,272,1367,12,10,43,59,209,12,18,87,2188,44,11,17,0,77,0,45,12,684,0,2392,0,0,6,1026,6,472,452,13,938,6,23,43,0,6,91,1951,152,1867,187,36171
2021,Asian,0,0,0,6,0,0,0,0,0,23,0,0,0,0,0,0,0,6,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,73,6,0,0,0,0,0,0,27,0,0,0,0,0,28,20,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,18,0,19,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,37,0,27,0,668
2021,Hispanic,0,0,0,14,0,24,0,0,13,0,0,0,0,13,25,0,6,159,16,18,1921,0,0,0,0,0,6,0,0,6,68,0,6,0,0,0,18,6,0,22,6,16,0,617,107,45,38,1209,126,0,14,67,6,0,0,45,0,0,0,0,6,515,172,0,0,10,6,13,0,0,28,0,0,0,0,0,0,0,15,6,134,0,6,0,0,0,41,0,15,6,0,0,0,21,0,0,0,76,574,25,238,0,12903
2021,Native American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,34
2021,White,486,50,114,609,14,176,35,212,69,958,346,256,197,168,858,224,148,574,189,257,3176,19,23,627,171,101,656,402,17,236,615,62,188,44,34,48,239,310,132,541,586,281,73,3518,774,508,624,2136,1452,246,314,640,322,844,288,5108,855,102,107,150,438,1793,1522,134,131,253,494,753,125,6,512,1390,211,115,269,6,48,54,269,369,1015,56,2606,67,19,135,948,58,425,2542,218,1135,159,176,213,255,215,597,2346,934,1932,403,10456
